stop_id,stop_name,stop_lat,stop_lon,stop_code
"9@AA044_600","Bivio Campania","43.2924727005451","11.4135408124263","9@AA044"
"9@AA052_600","Piazza Repubblica","43.2907661588879","11.410732805367","9@AA052"
"9@AA054_600","Campania","43.2918660534418","11.4119301507559","9@AA054"
"9@AA055_600","Lauretana","43.2942597554839","11.4102239638393","9@AA055"
"9@AA056_600","Arbia Scalo Bar","43.2949238912714","11.4087717008235","9@AA056"
"9@AA065_600","Campania","43.2918985126534","11.4122481004786","9@AA065"
"9@AA066_600","Lauretana","43.294327573177","11.4104238746265","9@AA066"
"9@AA070_600","Bivio Campania","43.2923890236199","11.4131241926739","9@AA070"
"9@AA451_600","Campo Sportivo","43.2954966962941","11.4048386561913","9@AA451"
"9@AA737_600","Campo Sportivo","43.2954735616675","11.4050095847601","9@AA737"
"9@AA739_600","Arbia Scalo Laterizi","43.2953031121973","11.4086364095696","9@AA739"
"9@AA740_600","Casanova Pansarine","43.3013919952437","11.4240033067969","9@AA740"
"9@AA759_600","Casanova Pansarine","43.3013888303597","11.4237831198367","9@AA759"
"9@AA760_600","Arbia Scalo","43.2956686356749","11.4072875786901","9@AA760"
"9@AA970_600","Cimitero Arbia","43.298259615515","11.4147433396783","9@AA970"
"9@AA971_600","Fornaci","43.2966149481032","11.4107493574694","9@AA971"
"9@AA986_600","Fornaci","43.2965854504154","11.4108501390305","9@AA986"
"9@AA987_600","Cimitero Arbia","43.298213803125","11.4148703503907","9@AA987"
"9@BD085_600","Calleno","43.3591350873878","11.4312774842557","9@BD085"
"9@BD098_600","Clinica Rugani","43.3594040336497","11.3141038307743","9@BD098"
"9@BD315_600","San Piero In Barca","43.3560662075553","11.4385205420664","9@BD315"
"9@BD316_600","Casa Cantoniera","43.3574251387693","11.438585727244","9@BD316"
"9@BD317_600","Casa Cantoniera","43.3575776013629","11.4384199438094","9@BD317"
"9@BD318_600","San Piero In Barca","43.3560187234217","11.43835748668","9@BD318"
"9@BD319_600","San Piero 32","43.3450798173961","11.4356525179163","9@BD319"
"9@BD320_600","San Piero 32","43.3450858579388","11.435550730873","9@BD320"
"9@BD559_600","Acqua Borra","43.3071592136909","11.4261793045524","9@BD559"
"9@BD560_600","Acqua Borra","43.3071497565576","11.4263024700037","9@BD560"
"9@BD703_600","Bocca Degli Abati","43.325984747127","11.4313717948626","9@BD703"
"9@BD704_600","Caspreno","43.3359449982395","11.4319895650772","9@BD704"
"9@BD705_600","Caspreno","43.3359275572648","11.4318867319477","9@BD705"
"9@BD706_600","Bocca Degli Abati","43.3259946288335","11.4312754958553","9@BD706"
"9@BD707_600","Il Bagnaccio","43.3098109378654","11.4228027052382","9@BD707"
"9@BD708_600","Il Bagnaccio","43.3095883998159","11.4231320732103","9@BD708"
"9@BD710_600","Monteaperti Capolinea","43.3285947745579","11.4315816686945","9@BD710"
"9@BD741_600","Casetta","43.3036441230024","11.427243834942","9@BD741"
"9@BD742_600","Sant'Ansano A Dofana","43.3118291135018","11.4248746595095","9@BD742"
"9@BD743_600","Fonte Al Pino","43.3156537642031","11.4284629211882","9@BD743"
"9@BD744_600","Martiri Di Monteaperti","43.3226078221333","11.4307053836379","9@BD744"
"9@BD745_600","Monteaperti","43.3286785798833","11.4322686729913","9@BD745"
"9@BD746_600","Podere Ligure","43.3328154147719","11.4329654815388","9@BD746"
"9@BD747_600","La Fornace","43.3473092351993","11.4375520128874","9@BD747"
"9@BD748_600","Falegnameria","43.3545371313342","11.4381584518297","9@BD748"
"9@BD749_600","Bv.Bossi","43.3585022583395","11.4360576174331","9@BD749"
"9@BD750_600","Bivio Bossi","43.3583749108904","11.4362534134083","9@BD750"
"9@BD751_600","Falegnameria","43.3545351189157","11.438067061714","9@BD751"
"9@BD752_600","La Fornace","43.3473616421773","11.4374842799882","9@BD752"
"9@BD753_600","Podere Ligure","43.3329140926754","11.4329319253974","9@BD753"
"9@BD754_600","Monteaperti","43.328696173922","11.4321781047037","9@BD754"
"9@BD755_600","Martiri Di Monteaperti","43.3225859371741","11.4306294048102","9@BD755"
"9@BD756_600","Fonte Al Pino","43.315742137094","11.4283591604155","9@BD756"
"9@BD757_600","Sant'Ansano A Dofana","43.3118664284385","11.4247794729714","9@BD757"
"9@BD758_600","Casetta","43.3036849654759","11.4271649536053","9@BD758"
"9@BD780_600","Piazzale Pianella","43.3566532244039","11.4172717345483","9@BD780"
"9@BD967_600","Bivio Castelnuovo","43.3514984118614","11.4397855945923","9@BD967"
"9@BD968_600","Carpineta","43.3185859217977","11.4292133703784","9@BD968"
"9@BD989_600","Carpineta","43.318596982121","11.4292955490816","9@BD989"
"9@BD990_600","Bivio Castelnuovo","43.3512269851283","11.4400619547234","9@BD990"
"9@GH818_600","Borgo Frastà .","43.3554338066659","11.4212953266579","9@GH818"
"9@MT001_600","Fornacelle Pino","43.3519997989612","11.2775079399085","9@MT001"
"9@MT004_600","Ferrini","43.3444457087399","11.2822429963479","9@MT004"
"9@MT008_600","Repubblica 3","43.3451200024222","11.2815267985222","9@MT008"
"9@MT009_600","Casetta Dell'Acqua","43.3443952799851","11.2854882426717","9@MT009"
"9@MT024_600","Braccio","43.3445576767067","11.300228006793","9@MT024"
"9@MT025_600","San Dalmazio","43.345546942834","11.2941705939949","9@MT025"
"9@MT026_600","Bivio Abbadia","43.3443652734416","11.2893682562075","9@MT026"
"9@MT027_600","Rotatoria Tognazza","43.3441012349514","11.2863333996828","9@MT027"
"9@MT028_600","Fornacelle Parcheggio","43.3492147948785","11.2753594245093","9@MT028"
"9@MT029_600","Fornacelle","43.3487663581355","11.2762602406387","9@MT029"
"9@MT031_600","San Martino","43.3482799891404","11.2801497313504","9@MT031"
"9@MT033_600","Fornacelle","43.3487038468212","11.2763018702817","9@MT033"
"9@MT034_600","San Martino","43.3479784751804","11.2807394171338","9@MT034"
"9@MT035_600","Rotatoria Tognazza","43.3441017777512","11.2854056713519","9@MT035"
"9@MT036_600","Bivio Abbadia","43.3443184062514","11.2895953477965","9@MT036"
"9@MT038_600","Braccio","43.3444908819197","11.3002719945971","9@MT038"
"9@MT074_600","Via Cassia 2","43.3450231225587","11.2969488261571","9@MT074"
"9@MT075_600","Cassia 2","43.3452004866382","11.2963580214343","9@MT075"
"9@MT134_600","Fontebecci Chiantibanca","43.3436393322485","11.3052755352838","9@MT134"
"9@MT188_600","Montarioso Seminario","43.3506928754","11.3112976235175","9@MT188"
"9@MT193_600","Fontebecci Chiantibanca","43.3435442187976","11.3053350996976","9@MT193"
"9@MT254_600","Hotel Anna","43.3451026018199","11.3071668444259","9@MT254"
"9@MT271_600","Rotatoria Montarioso","43.3472057654558","11.3088482209843","9@MT271"
"9@MT279_600","Giovanni Paolo Ii","43.3444125646133","11.3058755250984","9@MT279"
"9@MT280_600","Montecelso 8","43.345603471945","11.3052801918796","9@MT280"
"9@MT294_600","Belverde","43.3466328076943","11.3051644512481","9@MT294"
"9@MT304_600","Via Sardegna","43.3452273622214","11.3065751866229","9@MT304"
"9@MT305_600","Belverde Scuola","43.3486566326799","11.3039190616635","9@MT305"
"9@MT306_600","La Tognazza","43.3439767661966","11.2838846314547","9@MT306"
"9@MT307_600","La Tognazza","43.3438521136041","11.2831336888973","9@MT307"
"9@MT321_600","Bivio San Martino","43.3446860690972","11.2807656188662","9@MT321"
"9@MT326_600","Repubblica","43.3468575056198","11.2815964581302","9@MT326"
"9@MT327_600","Via Del Pozzo","43.3461341339784","11.280971816272","9@MT327"
"9@MT338_600","Montecelso","43.3454543355797","11.3039998505736","9@MT338"
"9@MT361_600","Bivio San Martino","43.3444760099442","11.2807924182023","9@MT361"
"9@MT374_600","Montecelso 8","43.3455502527966","11.3052938454093","9@MT374"
"9@MT426_600","Montecelso Banca","43.3442873504155","11.3056909082661","9@MT426"
"9@MT431_600","Via Val D'Aosta","43.3480362734395","11.3055615689139","9@MT431"
"9@MT595_600","Bivio Vico Alto","43.3488363503988","11.3121693961835","9@MT595"
"9@MT618_600","Str. Chiantigiana 47","43.3564084729187","11.3146078541241","9@MT618"
"9@MT620_600","Montarioso","43.3505286731267","11.3124714314708","9@MT620"
"9@MT621_600","Uopini Civico 8","43.3479350963262","11.2984732186662","9@MT621"
"9@MT652_600","Uopini Tabernacolo","43.3521872689928","11.2971773907096","9@MT652"
"9@MT653_600","Uopini","43.350886400768","11.298296650838","9@MT653"
"9@MT654_600","Via Uopini","43.3493716156504","11.2983068463382","9@MT654"
"9@MT655_600","V. Maestri Del Lavoro","43.3517704918399","11.2952226821338","9@MT655"
"9@MT920_600","Giovanni Xxiii","43.3488598444043","11.3089088518375","9@MT920"
"9@MT939_600","Bivio Rinfusola","43.3538509515319","11.3129447391058","9@MT939"
"9@MT940_600","Montarioso","43.3529735460596","11.3116965150034","9@MT940"
"9@MT941_600","Montarioso","43.3530677516258","11.3118200266023","9@MT941"
"9@MT942_600","Bivio Rinfusola","43.353737282885","11.3128709512239","9@MT942"
"9@S0001_600","Piazza Gramsci","43.3227789950397","11.3278714857243","9@S0001"
"9@S0002_600","Campansi","43.3251770118772","11.3281542302738","9@S0002"
"9@S0003_600","Piazza Del Sale","43.3242541584868","11.328540142414","9@S0003"
"9@S0004_600","Garibaldi","43.3247413294125","11.3306187635284","9@S0004"
"9@S0005_600","Vecchia Stazione","43.3259595900839","11.3319384146938","9@S0005"
"9@S0006_600","Mazzini 58","43.3277861063192","11.3292997086639","9@S0006"
"9@S0007_600","Mazzini 76","43.329451320721","11.3269449381395","9@S0007"
"9@S0008_600","Ferrovia","43.331558761069","11.3226242028564","9@S0008"
"9@S0009_600","Viale Sclavo","43.3326865563019","11.3179955402137","9@S0009"
"9@S0010_600","Caduti Di Vicobello","43.3307846203697","11.3187906457676","9@S0010"
"9@S0011_600","Viale Cavour","43.3302416783465","11.3189192243735","9@S0011"
"9@S0012_600","Bivio Montebello","43.3314093822087","11.3165226777057","9@S0012"
"9@S0013_600","Palazzo Diavoli","43.3323501706003","11.3130476321374","9@S0013"
"9@S0014_600","Uncinello","43.33550819868","11.307708679211","9@S0014"
"9@S0015_600","Cittadini","43.3367815150323","11.3054257440103","9@S0015"
"9@S0016_600","Tolomei","43.3372601633178","11.3017844802182","9@S0016"
"9@S0017_600","Tolomei 74","43.3362807975926","11.2999902779314","9@S0017"
"9@S0018_600","Acquacalda","43.3381821138696","11.2979611551821","9@S0018"
"9@S0019_600","Aldobrandino","43.3402235326214","11.2976690818478","9@S0019"
"9@S001B_600","Autostazione [2]","43.3318428722286","11.3251826808772","9@S001B"
"9@S001C_600","Autostazione [3]","43.3318956458964","11.325011191699","9@S001C"
"9@S001D_600","Autostazione [4]","43.3319441787289","11.3248520696634","9@S001D"
"9@S001E_600","Autostazione [5]","43.3319976868372","11.3246742519792","9@S001E"
"9@S001G_600","Autostazione [7]","43.3321034010216","11.3243261174529","9@S001G"
"9@S0020_600","Baviera","43.3402191930071","11.2989150067872","9@S0020"
"9@S0021_600","Province 17","43.3399464784722","11.3015989455693","9@S0021"
"9@S0022_600","Province 1","43.3413464576082","11.3036582679061","9@S0022"
"9@S0023_600","Province","43.3422921159569","11.3049465877017","9@S0023"
"9@S0037_600","San Dalmazio","43.3454121339307","11.2938484448638","9@S0037"
"9@S0038_600","Fornace Vecchia Est","43.2965536751997","11.3410588923225","9@S0038"
"9@S0039_600","Province Parcheggio","43.342516417377","11.3049014129365","9@S0039"
"9@S0040_600","Province 2","43.3413346723228","11.3034432901112","9@S0040"
"9@S0041_600","Province 46","43.3399234366188","11.3012541406971","9@S0041"
"9@S0042_600","Baviera","43.3404163709756","11.2989603226717","9@S0042"
"9@S0043_600","Aldobrandino","43.339994551028","11.2976067800455","9@S0043"
"9@S0044_600","Acquacalda","43.338127029918","11.297839172203","9@S0044"
"9@S0045_600","Tolomei","43.3371828207346","11.3019677025563","9@S0045"
"9@S0046_600","Cittadini","43.3367647348267","11.305913968119","9@S0046"
"9@S0047_600","Uncinello","43.3353476978417","11.3079162456106","9@S0047"
"9@S0048_600","Palazzo Diavoli","43.332154483924","11.3136853037934","9@S0048"
"9@S0049_600","Bivio Montebello","43.3311588131942","11.3168018987285","9@S0049"
"9@S0050_600","Cavour","43.3299637040328","11.3193018577316","9@S0050"
"9@S0051_600","Caduti Di Vicobello","43.3311223993542","11.3182068862411","9@S0051"
"9@S0052_600","Sclavo","43.3324829059174","11.3183852151812","9@S0052"
"9@S0053_600","Ferrovia","43.3310889568599","11.3225696574253","9@S0053"
"9@S0054_600","Mazzini","43.3290428365396","11.3273352173594","9@S0054"
"9@S0055_600","Mazzini 73","43.3275897408485","11.329263710375","9@S0055"
"9@S0056_600","Vecchia Stazione","43.325814455097","11.3318716865458","9@S0056"
"9@S0057_600","Garibaldi","43.3248361848031","11.3305150932709","9@S0057"
"9@S0058_600","Piazza Del Sale","43.3241142232393","11.3282887512912","9@S0058"
"9@S0059_600","Gazzani","43.3243268276176","11.3271204251088","9@S0059"
"9@S0060_600","Boninsegna 19","43.3245279019707","11.3379054612387","9@S0060"
"9@S0061_600","Mentana","43.3315610707171","11.3130824260609","9@S0061"
"9@S0062_600","Porta Camollìa","43.3282202046149","11.3240123828882","9@S0062"
"9@S0063_600","Antiporto Camollìa","43.3288765396191","11.3219682715798","9@S0063"
"9@S0064_600","Antiporto Camollìa","43.3287111004503","11.3220364632482","9@S0064"
"9@S0065_600","Porta Camollìa","43.3281107261306","11.3241803355852","9@S0065"
"9@S0066_600","Montluc","43.3270650275885","11.3246877386034","9@S0066"
"9@S0067_600","Montluc","43.3257579751824","11.3252510832393","9@S0067"
"9@S0068_600","Fratelli Cadorna","43.3237148559531","11.3247555232072","9@S0068"
"9@S0070_600","Aretina Due Ponti","43.3159880819123","11.3548559837611","9@S0070"
"9@S0071_600","Aretina 127","43.3152282111053","11.3520489007245","9@S0071"
"9@S0072_600","Aretina 65","43.3150946169187","11.3473427331112","9@S0072"
"9@S0073_600","Porta Pispini","43.3171139106722","11.3436956620967","9@S0073"
"9@S0074_600","Vivaldi","43.3180169160489","11.3423546183436","9@S0074"
"9@S0075_600","Peruzzi","43.3190046999188","11.3394374736965","9@S0075"
"9@S0076_600","Porta Ovile","43.3236351339671","11.3339751567054","9@S0076"
