service_id,date,exception_type
"4278_471174","20230428","1"
"4278_471174","20230429","1"
"4278_471176","20230429","1"
"4278_471177","20230430","1"
"4278_471178","20230430","1"
"4278_471180","20230428","1"
"4278_471180","20230429","1"
"4278_471180","20230430","1"
"4278_471181","20230428","1"
"4278_471182","20230428","1"
"4278_471182","20230429","1"
"4278_471183","20230428","1"
"4278_471184","20230428","1"
"4278_471184","20230429","1"
"4278_471185","20230428","1"
"4278_471185","20230429","1"
"4278_471185","20230430","1"
"4278_471186","20230430","1"
"4278_471187","20230428","1"
"4278_471187","20230429","1"
"4278_471187","20230430","1"
"4278_471188","20230428","1"
"4278_471189","20230428","1"
"4278_471189","20230429","1"
"4278_471192","20230428","1"
"4278_471192","20230429","1"
"4278_471192","20230430","1"
"4278_471193","20230428","1"
"4278_471194","20230428","1"
"4278_471194","20230429","1"
"4278_471195","20230428","1"
"4278_471195","20230429","1"
"4278_471196","20230428","1"
"4278_471196","20230429","1"
"4278_471197","20230428","1"
"4278_471197","20230429","1"
"4278_471198","20230428","1"
"4278_471198","20230429","1"
"4278_471199","20230428","1"
"4278_471199","20230429","1"
"4278_471200","20230428","1"
"4278_471200","20230429","1"
"4278_471200","20230430","1"
"4278_471201","20230428","1"
"4278_471201","20230429","1"
"4278_471201","20230430","1"
"4278_471203","20230428","1"
"4278_471205","20230428","1"
"4278_471205","20230429","1"
"4278_471205","20230430","1"
"4278_471206","20230428","1"
"4278_471207","20230428","1"
"4278_471207","20230429","1"
"4278_471209","20230428","1"
"4278_471211","20230429","1"
"4278_471212","20230428","1"
"4278_471212","20230429","1"
"4278_471213","20230430","1"
"4278_471214","20230430","1"
"4278_471215","20230428","1"
"4278_471215","20230429","1"
"4278_471215","20230430","1"
"4278_471216","20230428","1"
"4278_471217","20230428","1"
"4278_471217","20230429","1"
"4278_471218","20230428","1"
"4278_471219","20230428","1"
"4278_471219","20230429","1"
"4278_471220","20230428","1"
"4278_471220","20230429","1"
"4278_471220","20230430","1"
"4278_471222","20230428","1"
"4278_471222","20230429","1"
"4278_471223","20230430","1"
"4278_471224","20230428","1"
"4278_471225","20230428","1"
"4278_471225","20230429","1"
"4278_471225","20230430","1"
"4278_471226","20230428","1"
"4278_471228","20230428","1"
"4278_471228","20230429","1"
"4278_471229","20230429","1"
"4278_471230","20230428","1"
"4278_471231","20230428","1"
"4278_471231","20230429","1"
"4278_471233","20230430","1"
"4278_471234","20230430","1"
"4278_471235","20230428","1"
"4278_471236","20230428","1"
"4278_471236","20230429","1"
"4278_471238","20230430","1"
"4278_471239","20230430","1"
"4278_471241","20230428","1"
"4278_471242","20230428","1"
"4278_471242","20230429","1"
"4278_471244","20230430","1"
"4278_471247","20230428","1"
"4278_471247","20230429","1"
"4278_471247","20230430","1"
"4278_471248","20230428","1"
"4278_471248","20230429","1"
"4278_471249","20230428","1"
"4278_471250","20230428","1"
"4278_471250","20230429","1"
"4278_471251","20230428","1"
"4278_471251","20230429","1"
"4278_471251","20230430","1"
"4278_471253","20230430","1"
"4278_471254","20230430","1"
"4278_471256","20230428","1"
"4278_471256","20230429","1"
"4278_471256","20230430","1"
"4278_471257","20230428","1"
"4278_471257","20230429","1"
"4278_471258","20230428","1"
"4278_471258","20230429","1"
"4278_471258","20230430","1"
"4278_471260","20230429","1"
"4278_471261","20230430","1"
"4278_471262","20230430","1"
"4278_471263","20230428","1"
"4278_471263","20230429","1"
"4278_471263","20230430","1"
"4278_471264","20230428","1"
"4278_471265","20230428","1"
"4278_471265","20230429","1"
"4278_471266","20230430","1"
"4278_471267","20230428","1"
"4278_471267","20230429","1"
"4278_471267","20230430","1"
"4278_471268","20230428","1"
"4278_471269","20230428","1"
"4278_471269","20230429","1"
"4278_471270","20230428","1"
"4278_471270","20230429","1"
"4278_471270","20230430","1"
"4278_471271","20230428","1"
"4278_471272","20230428","1"
"4278_471272","20230429","1"
"4278_471273","20230430","1"
"4278_471274","20230430","1"
"4278_471275","20230428","1"
"4278_471275","20230429","1"
"4278_471275","20230430","1"
"4278_471276","20230428","1"
"4278_471277","20230428","1"
"4278_471277","20230429","1"
"4278_471277","20230430","1"
"4278_471278","20230428","1"
"4278_471278","20230429","1"
"4278_471279","20230428","1"
"4278_471279","20230429","1"
"4278_471280","20230428","1"
"4278_471280","20230429","1"
"4278_471281","20230428","1"
"4278_471281","20230429","1"
"4278_471282","20230428","1"
"4278_471282","20230429","1"
"4278_471284","20230428","1"
"4278_471284","20230429","1"
"4278_471285","20230428","1"
"4278_471285","20230429","1"
"4278_471286","20230428","1"
"4278_471286","20230429","1"
"4278_471287","20230428","1"
"4278_471287","20230429","1"
"4278_471288","20230428","1"
"4278_471288","20230429","1"
"4278_471289","20230428","1"
"4278_471289","20230429","1"
"4278_471290","20230428","1"
"4278_471290","20230429","1"
"4278_471291","20230428","1"
"4278_471291","20230429","1"
"4278_471292","20230428","1"
"4278_471292","20230429","1"
"4278_471293","20230428","1"
"4278_471293","20230429","1"
"4278_471294","20230428","1"
"4278_471294","20230429","1"
"4278_471295","20230428","1"
"4278_471295","20230429","1"
"4278_471296","20230428","1"
"4278_471297","20230428","1"
"4278_471297","20230429","1"
"4278_471299","20230428","1"
"4278_471299","20230429","1"
"4278_471300","20230428","1"
"4278_471300","20230429","1"
"4278_471301","20230428","1"
"4278_471301","20230429","1"
"4278_471302","20230428","1"
"4278_471302","20230429","1"
"4278_471303","20230428","1"
"4278_471303","20230429","1"
"4278_471304","20230430","1"
"4278_471305","20230428","1"
"4278_471306","20230428","1"
"4278_471307","20230428","1"
"4278_471308","20230428","1"
"4278_471309","20230428","1"
"4278_471309","20230429","1"
"4278_471310","20230428","1"
"4278_471311","20230428","1"
"4278_471311","20230429","1"
"4278_471312","20230428","1"
"4278_471312","20230429","1"
"4278_471313","20230428","1"
"4278_471313","20230429","1"
"4278_471314","20230428","1"
"4278_471314","20230429","1"
"4278_471315","20230428","1"
"4278_471315","20230429","1"
"4278_471316","20230428","1"
"4278_471316","20230429","1"
